ancestry,1,9942524713503681
ancestry.com,1,9942524713503681
anesthesiology,1,9977108105603681
the atlantic,1,9977047422803681
boston globe,1,9977052218603681
che,1,9977047066603681
chronicle of higher ed,1,9977047066603681
chronicle of higher education,1,9977047066603681
dynamed,1,9949405903503681
economist,1,9977048907203681
eric,1,9921999873503681
the economist,1,9977048907203681
economist.com,1,9977048907203681
hoovers,1,9926082903503681
hoover's,1,9926082903503681
the inquirer,1,9977047865203681
inquirer,1,9977047865203681
journal of neuroscience,1,9977044664903681
jstor,1,9941439883503681
knovel,1,9932015393503681
le monde,1,9977047827603681
the new yorker,1,9977047445803681
nature,1,9977047322103681
new york times,1,9977568423203681
nexis uni,1,9977170353703681
nyt,1,9977568423203681
oed,1,9927543263503681
oxford english dictionary,1,9927543263503681
pitchbook,1,9977497628803681
philadelphia inquirer,1,9977047865203681
pnas,1,9977043505303681
pubmed,1,9941483183503681
science,1,9977049253003681
scopus,1,9943162163503681
statista,1,9957467153503681
syria,1,99311773503681
wall street journal,1,9977048989703681
washington post,1,9977047750803681
web of science,1,9922023643503681
worldcat,1,9919491523503681
wsj,1,9977048989703681
